rfc,rfc_published,observable,project,role,capability,capability_meaning,version,release_date,commit_date,shipped_before_rfc,standard_codepoint,attribution,attribution_basis,evidence_kind,evidence_text,evidence_commit,evidence_url,note
RFC 6605,2012-04,alg 13/14,Unbound,resolver,validate,can verify this algorithm,1.4.17,2012-05-18,2012-04-13,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,ECDSA support (RFC 6605) by default. Use --disable-ecdsa for older openssl.,53a448ffae9d220e38ce459b28148e3d9fc45300,https://github.com/NLnetLabs/unbound/commit/53a448ffae9d220e38ce459b28148e3d9fc45300,"draft-ietf-dnsext-ecdsa-04 implemented 2012-02-08, two months before the RFC."
RFC 6605,2012-04,alg 13/14,BIND 9,both,sign,can produce RRSIGs with this algorithm,9.8.4,2012-09-26,2012-05-17,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,3317. [func] Add ECDSA support (RFC 6605). [RT #21918],9d1aaaaf3a919264f340d2fd88d2468e0d0b4c3a,https://gitlab.isc.org/isc-projects/bind9/-/commit/9d1aaaaf3a919264f340d2fd88d2468e0d0b4c3a,Same date on 9.9.2. Backport branches make the exact first stable release ambiguous.
RFC 6605,2012-04,alg 13/14,Knot DNS,authoritative,sign,can produce RRSIGs with this algorithm,1.4.0,2013-12-31,2013-09-05,False,True,approximate,"Knot's whole DNSSEC signer arrives in 1.4.0; there is no ECDSA-specific introducing commit, so this is the release, not the feature date.",commit,DNSSEC: unit tests for signatures creating and verification,e87dfa76816f6de259b4e1fe51e00039767af476,https://github.com/CZ-NIC/knot/commit/e87dfa76816f6de259b4e1fe51e00039767af476,Knot's DNSSEC signing arrives whole in 1.4.0.
RFC 7344,2014-09,CDS/CDNSKEY,BIND 9,both,rrtype,can parse and serve the record type,9.8.8,2014-09-16,2014-06-19,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,[v9_8] CDS/CDNSKEY rrtypes,c39bcc17362213903144f3dc360d77a2bf484058,https://gitlab.isc.org/isc-projects/bind9/-/commit/c39bcc17362213903144f3dc360d77a2bf484058,Record types only; generation came later.
RFC 7344,2014-09,CDS/CDNSKEY,Knot DNS,authoritative,rrtype,can parse and serve the record type,1.6.3,2015-04-08,2015-02-19,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,libknot: add CDS and CDNSKEY record types support,5ff97dfb7c514abb278043a8806a931578389280,https://github.com/CZ-NIC/knot/commit/5ff97dfb7c514abb278043a8806a931578389280,
RFC 7344,2014-09,CDS/CDNSKEY,PowerDNS Authoritative,authoritative,publish,can generate the record itself,4.0.0,2016-07-08,2015-07-21,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,Add CDS publishing support,ef542223c831c0f791fb4909c4f5d06ed67398da,https://github.com/PowerDNS/pdns/commit/ef542223c831c0f791fb4909c4f5d06ed67398da,
RFC 7344,2014-09,CDS/CDNSKEY,Knot DNS,authoritative,publish,can generate the record itself,2.5.0,2017-06-05,2017-04-06,False,True,approximate,"Evidence is a log line for a CDS publish event, which implies the feature exists by then; the introduction may be earlier in the 2.5 cycle.",commit,ksk rollover: logging CDS publish event,14e414b14c81fb2c89c1d9ec52ea52712678d3db,https://github.com/CZ-NIC/knot/commit/14e414b14c81fb2c89c1d9ec52ea52712678d3db,
RFC 7344,2014-09,CDS/CDNSKEY,BIND 9,both,publish,can generate the record itself,9.16.0,2020-02-12,2020-01-22,False,True,approximate,"dnssec-policy is the feature that publishes CDS without external tooling and exists only from 9.16. ISC shipped maintenance releases of 9.11 and 9.14 on the same date, so the date is firm and the branch attribution is the claim being made.",commit,Add tests for CDS/CDNSKEY publication (dnssec-policy),2f5c441181071fa7fd579ac973ce068a336bedda,https://gitlab.isc.org/isc-projects/bind9/-/commit/2f5c441181071fa7fd579ac973ce068a336bedda,dnssec-policy is the first BIND branch that publishes CDS without external tooling.
RFC 8080,2017-02,alg 15/16,PowerDNS Authoritative,authoritative,sign,can produce RRSIGs with this algorithm,3.3.1,2013-12-17,2012-03-25,True,False,approximate,"Ed25519 on private codepoint 250, not RFC 8080's 15/16. Proves the cryptography worked; is not an RFC 8080 implementation.",commit,"move ED25519 to algo=250, plus add various missing bits. Functions now.",59d84dc2aed5fc3ea250fda517f0e9c2c9b83e0a,https://github.com/PowerDNS/pdns/commit/59d84dc2aed5fc3ea250fda517f0e9c2c9b83e0a,"Private codepoint 250, ~5 years before RFC 8080. Not the standard codepoint, so it is evidence of readiness, not of RFC 8080 support."
RFC 8080,2017-02,alg 15/16,Knot DNS,authoritative,algorithm-aware,knows the codepoint but cannot sign with it,2.4.0,2017-01-18,2017-01-10,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,Add initial EdDSA support (no signing yet),015dfc57c63f735e1e2eca645b0062afcc6fec51,https://github.com/CZ-NIC/knot/commit/015dfc57c63f735e1e2eca645b0062afcc6fec51,"One month before the RFC, and explicitly not yet able to sign."
RFC 8080,2017-02,alg 15,Unbound,resolver,validate,can verify this algorithm,1.6.4,2017-06-22,2017-05-30,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,Support for the ED25519 algorithm with openssl (from openssl 1.1.1).,8c4e7ffb1422c904e348a6379bcacecefd19dfc5,https://github.com/NLnetLabs/unbound/commit/8c4e7ffb1422c904e348a6379bcacecefd19dfc5,"1.6.6 (2017-09-13) adds it via libnettle, which is what most builds used."
RFC 8080,2017-02,alg 15,Knot DNS,authoritative,sign,can produce RRSIGs with this algorithm,2.6.0,2017-09-29,2017-07-15,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,Add support for Ed25519 RRSIG signatures,662b449b7f6d9f7900d22789d097af6a2277593f,https://github.com/CZ-NIC/knot/commit/662b449b7f6d9f7900d22789d097af6a2277593f,
RFC 8080,2017-02,alg 15,BIND 9,both,sign,can produce RRSIGs with this algorithm,9.12.0,2018-01-17,2017-07-31,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,Added Ed25519 support (#44696),9b9182fe00c0cdaf9a94bbe84e685adad84f47a4,https://gitlab.isc.org/isc-projects/bind9/-/commit/9b9182fe00c0cdaf9a94bbe84e685adad84f47a4,
RFC 8080,2017-02,alg 16,Unbound,resolver,validate,can verify this algorithm,1.7.1,2018-04-26,2018-04-05,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,ED448 support.,1f9caf5805fd7b5af95b09e919adf603dde1b8e7,https://github.com/NLnetLabs/unbound/commit/1f9caf5805fd7b5af95b09e919adf603dde1b8e7,
RFC 8080,2017-02,alg 15/16,OpenDNSSEC,signer,sign,can produce RRSIGs with this algorithm,2.1.7,2020-10-07,2020-08-15,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,SUPPORT-222: Support EDDSA keys (ED25519 and ED448),46e0a7b94793da6bb3b28107f53252b81c150754,https://github.com/opendnssec/opendnssec/commit/46e0a7b94793da6bb3b28107f53252b81c150754,"3.6 years after the RFC -- the slowest signer measured, and the one several registries run."
